id,title,location,locality,city,price_cr,price_per_sqft,carpet_area_sqft,built_up_area_sqft,bhk,property_type,amenities,description,possession_status,age_of_property,floor_number,total_floors
1,Luxurious 3BHK in Worli Sea Face,Worli,Worli Sea Face,Mumbai,4.5,45000,1000,1350,3,Apartment,"Swimming Pool,Gym,Clubhouse,24x7 Security,Power Backup,Parking",Premium sea-facing apartment in South Mumbai with stunning views of Arabian Sea. RERA registered project with world-class amenities.,Ready to Move,New Construction,22,35
2,Spacious 2BHK Parel Tower,Parel,Lower Parel,Mumbai,2.1,30000,700,945,2,Apartment,"Gym,Swimming Pool,Garden,Children Play Area,Parking",Modern 2BHK in the heart of Mumbai's business district. Walking distance to metro and malls. Excellent connectivity.,Ready to Move,2 Years,15,28
3,Affordable 1BHK Andheri West,Andheri,Andheri West,Mumbai,0.85,18000,472,590,1,Apartment,"Gym,Security,Parking,Power Backup",Compact 1BHK ideal for working professionals. Close to Andheri metro station and Lokhandwala market.,Ready to Move,5 Years,8,20
4,Premium 4BHK Powai Lake View,Powai,Hiranandani Gardens,Mumbai,5.2,35000,1485,2000,4,Apartment,"Lake View,Clubhouse,Tennis Court,Gym,Swimming Pool,Concierge",Exclusive lake-facing apartment in Hiranandani Powai. Rare combination of space and location. RERA compliant.,Ready to Move,3 Years,18,25
5,Budget 2BHK Thane West,Thane,Ghodbunder Road,Mumbai,0.95,11000,864,1080,2,Apartment,"Garden,Gym,Children Play Area,Security",Affordable family apartment in upcoming Thane location. Good appreciation potential with metro connectivity.,Under Construction,New Construction,12,22
6,Sea View 3BHK Bandra West,Bandra,Carter Road,Mumbai,6.8,52000,1308,1765,3,Apartment,"Sea View,Terrace,Gym,Clubhouse,Valet Parking,Concierge",Ultra-premium apartment in Bandra's most sought-after location. Unobstructed sea views and celebrity neighborhood.,Ready to Move,1 Year,28,32
7,Value 2BHK Kandivali East,Kandivali,Kandivali East,Mumbai,0.72,12000,600,750,2,Apartment,"Garden,Security,Parking,Power Backup",Budget-friendly option in suburban Mumbai. Good connectivity via Western Express Highway.,Ready to Move,8 Years,6,15
8,Modern 3BHK BKC,BKC,Bandra Kurla Complex,Mumbai,7.5,55000,1364,1840,3,Apartment,"Business Center,Gym,Rooftop Pool,Concierge,Smart Home",State-of-the-art apartment in Mumbai's financial hub. Premium finishes and smart home integration.,Ready to Move,New Construction,30,42
9,Family 2BHK Goregaon West,Goregaon,Goregaon West,Mumbai,1.4,20000,700,910,2,Apartment,"Film City View,Garden,Gym,Children Play Area,Parking",Well-designed 2BHK near Film City. Popular among media professionals. Good rental potential.,Ready to Move,4 Years,14,24
10,Compact 1BHK Navi Mumbai,Navi Mumbai,Kharghar,Mumbai,0.55,9000,611,765,1,Apartment,"Central Park View,Gym,Security,Parking",Affordable 1BHK in planned city of Kharghar. Excellent infrastructure and greenery. Metro connectivity coming soon.,Under Construction,New Construction,9,18
11,Luxury Penthouse Juhu,Juhu,Juhu Beach,Mumbai,12.5,62500,2000,2600,4,Penthouse,"Private Terrace,Pool,Gym,Sea View,Helipad Access,Butler Service",Exclusive duplex penthouse near Juhu Beach. Celebrity enclave with unmatched privacy and luxury.,Ready to Move,2 Years,35,35
12,Value 3BHK Mulund West,Mulund,Mulund West,Mumbai,1.25,13889,900,1170,3,Apartment,"Garden,Gym,Temple,Community Hall,Parking",Spacious 3BHK in family-friendly Mulund. Good schools and hospitals nearby. Eastern Express Highway access.,Ready to Move,10 Years,4,12
13,Metro Adjacent 2BHK Ghatkopar,Ghatkopar,Ghatkopar East,Mumbai,1.55,19375,800,1040,2,Apartment,"Metro Connectivity,Gym,Garden,Security,Parking",Strategic location right next to Ghatkopar metro station. Perfect for daily commuters. R-City Mall nearby.,Ready to Move,6 Years,11,20
14,Green 2BHK Borivali East,Borivali,Borivali East,Mumbai,0.88,14667,600,780,2,Apartment,"National Park View,Gym,Garden,Children Play Area",Nature lovers paradise near Sanjay Gandhi National Park. Fresh air and peaceful environment.,Ready to Move,7 Years,5,16
15,Premium 3BHK Mahalaxmi,Mahalaxmi,Mahalaxmi,Mumbai,5.8,48333,1200,1620,3,Apartment,"Race Course View,Gym,Clubhouse,Concierge,Valet",Heritage location overlooking Mahalaxmi Race Course. South Mumbai's prestigious address.,Ready to Move,New Construction,24,30
